artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
Mango Blade,2025-08-17,1,129,111,0,0,0
ZACKO,2025-08-17,0,7,0,0,0,0
pax,2025-08-17,0,5,2,502,71002,112
ARANDA,2025-08-17,0,104,7,0,0,0
Casa 24Beats,2025-08-17,0,0,N/A,10,905,58
Casa 24,2025-08-18,5,465,982,622,29096,94
Chef Lino,2025-08-18,4,258,348,15,230,5
PYRO,2025-08-18,1,202,514,0,0,0
bo.wlie,2025-08-18,0,89,12,94,13780,71
Mango Blade,2025-08-18,1,129,109,0,0,0
ZACKO,2025-08-18,0,7,0,0,0,0
pax,2025-08-18,0,5,2,502,71007,112
ARANDA,2025-08-18,0,104,8,0,0,0
Casa 24Beats,2025-08-18,0,0,N/A,10,1010,58
Casa 24,2025-08-19,5,465,981,622,29096,94
Chef Lino,2025-08-19,4,258,346,15,230,5
PYRO,2025-08-19,1,202,514,0,0,0
bo.wlie,2025-08-19,0,89,11,94,13780,71
Mango Blade,2025-08-19,1,129,109,0,0,0
ZACKO,2025-08-19,0,7,0,0,0,0
pax,2025-08-19,0,5,2,502,71027,112
ARANDA,2025-08-19,0,104,8,0,0,0
Casa 24Beats,2025-08-19,0,0,N/A,10,1058,58
Casa 24,2025-08-20,5,465,979,622,29097,94
Chef Lino,2025-08-20,4,258,337,15,230,5
PYRO,2025-08-20,1,202,517,0,0,0
bo.wlie,2025-08-20,0,89,11,94,13780,71
Mango Blade,2025-08-20,1,129,111,0,0,0
ZACKO,2025-08-20,0,7,0,0,0,0
pax,2025-08-20,0,5,2,502,71031,112
ARANDA,2025-08-20,0,104,8,0,0,0
Casa 24Beats,2025-08-20,0,0,N/A,10,1064,59
Casa 24,2025-08-21,5,465,967,622,29097,94
Chef Lino,2025-08-21,4,259,338,15,230,5
PYRO,2025-08-21,1,202,503,0,0,0
bo.wlie,2025-08-21,0,89,13,94,13780,71
Mango Blade,2025-08-21,1,129,111,0,0,0
ZACKO,2025-08-21,0,7,0,0,0,0
pax,2025-08-21,0,5,2,502,71040,112
ARANDA,2025-08-21,0,104,8,0,0,0
Casa 24Beats,2025-08-21,0,0,N/A,10,1067,62
Casa 24,2025-08-22,5,465,577,622,29098,94
Chef Lino,2025-08-22,4,259,334,15,232,5
PYRO,2025-08-22,1,202,N/A,0,0,0
bo.wlie,2025-08-22,0,89,14,94,13781,71
Mango Blade,2025-08-22,1,129,114,0,0,0
ZACKO,2025-08-22,0,7,0,0,0,0
pax,2025-08-22,0,5,2,502,71049,112
ARANDA,2025-08-22,0,104,8,0,0,0
Casa 24Beats,2025-08-22,0,0,N/A,10,1083,62
Casa 24,2025-08-23,5,465,571,622,29098,94
Chef Lino,2025-08-23,4,260,335,15,232,5
PYRO,2025-08-23,1,202,110,0,0,0
bo.wlie,2025-08-23,0,89,15,94,13781,71
Mango Blade,2025-08-23,1,129,112,0,0,0
ZACKO,2025-08-23,0,7,0,0,0,0
pax,2025-08-23,0,5,2,502,71066,112
ARANDA,2025-08-23,0,104,7,0,0,0
Casa 24Beats,2025-08-23,0,0,N/A,10,1094,62
Casa 24,2025-08-23,5,465,567,622,29101,94,1691,577
Chef Lino,2025-08-23,4,260,333,15,232,5,1353,12
PYRO,2025-08-23,1,202,N/A,0,0,0,0,0
bo.wlie,2025-08-23,0,89,16,94,13781,71,590,68
